,MAE,RMSE,R2,MAPE
Voltage1,7.381963027503026,9.920521137828956,-0.02207072227371598,3.4787109935281397
Current1,0.030668514517566737,0.04233412714670428,-0.0832766128669189,54.64725604778366
Power1,6.720579619400716,9.082622085669083,-0.09496317486997707,45.26860820190495
Frequency1,0.049272681238535954,0.05937415611539972,-0.14637178529089123,0.09865791017255887
PowerFactor1,0.37245233148758056,0.490862966359648,-0.14538954696537032,50.317546589070375
Energy1,0.1341671845311608,0.1359892521358135,-17.66939596514545,0.9288097345115228
Voltage2,7.337051446560164,9.885801054489535,-0.008088764287481398,3.4578189731328544
Current2,0.11873792438695925,0.15468159514385396,-0.7556010233763595,51.11726351212303
Power2,28.694904212984568,37.45443443374383,-1.3026178282228384,60.57487370463836
Frequency2,0.046836500514578945,0.05861889138085514,-0.11627285547176802,0.09378680373052199
PowerFactor2,0.38619422302636686,0.5062040355645168,-0.5785804986030987,46.0667575658493
Energy2,0.6953166787405283,0.7211629244392799,-2.2532685730543203,0.5685010728707396
